Packet_Size,Transmission_Rate,Latency,Protocol_Type,Active_Connections,CPU_Usage,Memory_Usage,Bandwidth_Utilization,Request_Response_Time,Auth_Failures,Access_Violations,Firewall_Blocks,IDS_Alerts,Anomalous_Load,DWT_Feature_1
691,124.5043134,11.06018887,1,368,87.73110176,11895.92648,43.74361462,0.536009071,0,2,11,6,0,0.707812904
1455,92.64111394,99.76806451,1,350,89.1826551,10958.71098,21.89040799,0.821913336,2,1,8,11,1,0.937253507
776,70.07425445,35.29664969,0,340,60.26514071,13613.59182,31.35090069,1.226553867,3,2,7,14,1,-1.026867874
660,144.4336545,70.12175073,0,402,15.80513981,3530.003498,67.8472556,1.376239912,1,0,8,6,0,0.436165812
959,58.14980522,25.90140828,1,324,48.02445728,12085.83756,14.66884954,1.325823132,5,0,4,11,1,-0.234043317
813,162.2967851,62.2205679,0,176,49.97886358,14113.54832,34.5420136,1.740204609,9,0,9,10,0,0.757058314
521,97.63801929,91.36314878,1,228,48.72794639,2827.006185,28.74803299,0.515639119,3,2,4,6,0,-1.487558014
752,50.02020395,38.81630507,1,454,53.40680627,5614.155295,28.10215996,1.30981771,0,1,13,4,0,-1.089490778
1247,126.6693709,70.32285784,1,323,6.591600673,15524.61805,71.44861708,0.292117315,2,4,17,14,1,-1.564179764
1356,57.02778628,26.91132299,0,402,65.45431892,12514.52675,84.32352251,1.141075911,6,1,6,6,0,-1.20980323
1060,91.42543367,66.23158588,1,367,65.55351567,4593.194237,74.42799473,1.209520965,2,1,7,5,0,-0.456385576
974,156.0464731,40.28053166,0,488,14.81493089,9066.674137,68.11550342,0.510850868,5,3,4,6,0,1.165001077
558,59.40344324,29.00874327,0,18,53.47035261,6528.785353,92.48065946,0.844216947,5,1,5,4,0,0.580960934
1010,175.9007739,38.18638456,0,56,53.31070051,7890.446304,15.25531424,1.67166649,0,4,19,11,1,0.587615282
1181,50.5729884,26.09569617,1,407,63.00828572,5747.142443,25.07347774,0.381977202,1,3,8,1,0,-0.907521875
975,87.02358038,91.17244971,0,35,12.25880383,4541.363195,47.29661701,0.925561775,9,1,8,8,0,0.452382635
1199,161.1356084,45.74681977,1,390,58.25278112,10828.73236,43.52064792,1.872192835,5,3,7,1,0,2.272344287
1475,97.44052246,32.07513745,0,118,28.86391581,12478.81486,47.62464427,1.057806963,1,1,16,2,0,0.92400502
1282,65.28385821,50.35670569,0,282,48.09525419,13995.91825,28.58094145,1.477754052,1,0,7,8,0,1.664197747
689,104.0350878,38.84825501,0,254,70.73250198,2569.74648,23.4552984,1.671045475,3,0,0,1,0,-0.185980468
1457,90.55899296,76.99773284,1,213,64.97990459,13183.40283,55.82739227,0.487171312,7,1,17,12,1,-0.138050857
1186,176.4067853,97.40979207,1,61,15.1067565,4151.333109,93.52472717,0.514612748,5,3,14,13,1,1.288349356
1457,97.00218764,49.4230291,1,88,55.2507069,6894.6486,45.27725161,1.541323767,7,4,15,14,1,-0.764944742
1062,168.3398708,87.493006,1,271,87.37490513,14432.95461,13.90178927,1.531282803,3,0,1,7,0,0.402445267
1375,183.7808217,60.92767662,0,347,18.32540217,7326.607256,73.55506086,0.214348309,2,3,12,12,1,0.848573979
1066,115.0726129,24.15120986,0,32,77.49710246,3233.310191,36.1994415,0.712746657,6,4,1,11,1,0.043125912
743,186.4914716,72.15604679,1,396,64.71658685,2641.911618,32.05855066,0.857211735,6,3,13,12,1,-0.588453412
1331,106.5977081,56.20910474,1,133,70.7902816,7620.44189,39.18322006,1.675176767,1,1,6,12,1,-0.302197168
1004,194.6117625,68.55458709,1,64,28.96645781,12226.49154,75.14339715,0.901538285,0,0,10,2,0,-1.320131841
630,63.39342868,90.07186713,1,199,29.470559,15955.56179,83.69374482,1.859264892,7,0,14,14,1,1.031694679
984,153.05289,49.63911136,0,256,82.01165374,12619.79719,62.92504606,1.993554777,2,0,16,5,0,1.830469633
1318,124.0721061,91.10598609,1,342,35.58572273,14044.49015,39.02308783,1.583379715,5,1,16,8,0,-0.052699349
1146,108.1473208,77.56021129,1,155,10.35630821,11990.53454,37.94304098,1.36613471,6,4,14,9,0,4.543962192
520,144.9067818,53.97444333,0,463,56.0507198,14337.4181,21.18775149,0.844604615,7,4,15,9,0,-0.3892507
1340,155.5785637,64.28999221,1,231,15.60950187,1313.067339,93.99709434,0.227374947,5,0,8,2,0,-0.354477572
666,50.65449045,39.30230193,0,301,72.71068052,14885.91242,67.43254591,1.188963637,6,4,19,8,0,1.793922351
773,75.04296331,98.52375698,1,35,59.54844761,6402.857844,12.42771579,0.787239321,4,0,18,6,0,1.594488768
887,156.9569076,70.06160467,0,26,79.35175294,14753.66615,69.61303857,0.766706344,2,4,8,4,0,1.674661691
1100,149.957812,13.94621672,1,23,71.71116623,1304.152116,50.24380818,1.40664758,1,0,5,7,0,2.253339641
815,194.9071258,39.39597152,1,141,14.52966011,11472.36302,97.53021667,0.980914781,6,4,0,5,0,-0.568620068
513,164.1556685,66.09829904,1,474,37.3910075,11797.4511,83.71619423,1.528978305,7,3,4,6,0,1.287485715
741,192.6159062,15.069995,1,387,70.83762124,15950.88314,25.41841784,0.856529123,7,0,4,2,0,-1.207966806
1276,155.3810752,12.14957722,1,285,40.47402523,12324.7988,74.8100007,0.386640432,2,0,0,12,1,2.288758968
845,94.7078313,50.50218156,0,450,87.65106621,6182.921922,53.70094035,0.9765603,1,2,0,9,0,2.200575988
1064,65.80473834,39.94211617,1,320,67.53793824,8960.251971,26.83406473,1.906923777,8,0,5,10,0,2.279178986
1397,167.2735795,49.44687472,0,156,6.317492919,5928.159917,72.88659166,1.622896795,5,4,8,5,0,0.7398283
839,146.6223832,33.64239789,0,471,79.79878378,3216.69646,59.26488208,0.490923585,9,3,18,10,0,2.277816527
591,57.22790186,24.82459722,0,420,13.56840671,4051.187007,12.73364909,0.843470953,2,3,4,2,0,1.073417718
866,104.0075699,72.02290213,0,113,16.94451656,3629.967495,68.19291555,1.862804981,4,4,16,6,0,2.802899894
1455,193.5199723,56.31140046,1,390,67.43185405,8826.16375,67.14883809,0.335028212,0,1,19,9,0,0.420892512
954,125.0601719,28.01387901,1,139,78.52232755,14507.95409,22.96766449,0.58250546,1,0,11,5,0,0.411676374
927,114.9093704,38.76304836,1,422,50.58971837,14612.35335,41.40889543,0.598223027,8,3,5,9,0,1.483930716
1008,118.6549408,63.26271169,1,374,29.5692273,970.7440627,62.73090737,1.184772464,9,4,12,11,1,-0.894909285
1275,81.3324086,16.50064134,0,418,34.86182135,1370.400475,22.49047127,0.880393307,9,3,7,7,0,0.565993218
1442,105.3060756,23.27077083,0,209,34.14559302,3997.393009,86.74510401,0.251754281,2,3,2,7,0,0.839330041
534,105.4719884,16.59210437,0,323,32.76763882,4155.445294,12.47374417,1.295444764,7,4,10,5,0,-0.968138075
705,57.85325303,83.10855994,1,364,25.6473221,1608.737886,19.25536735,0.288247943,9,2,19,1,0,1.072511927
580,165.1351443,77.71683099,1,430,56.75370304,6276.567125,20.44962279,1.252188371,7,3,0,13,1,1.643043498
1431,112.4756648,77.79816387,1,482,81.53445208,9444.833744,57.52964134,1.063315922,4,3,13,9,0,2.136857104
1061,173.326983,74.46928091,1,86,31.10200511,9292.77899,65.8102611,1.037970455,7,1,12,12,1,-1.153719222
1371,177.5522002,70.24468813,0,285,20.86901528,8740.531932,46.33667169,0.228242866,1,2,14,9,0,2.408289954
887,81.7991082,52.92927238,1,60,76.27910164,5484.883606,35.98001449,1.314518849,1,1,7,5,0,-1.950697887
501,148.6030223,67.80503472,1,54,68.05158313,11332.6454,82.83856381,0.919508491,3,4,14,0,0,-0.285823946
889,120.8422706,13.45253993,0,93,84.12114768,13241.09466,16.14573854,0.881101632,7,0,12,12,1,3.894467371
1065,182.0235107,65.93179804,0,325,19.06917753,5605.760837,35.2262675,1.233257653,1,4,0,5,0,1.235429997
605,82.36110188,80.0089935,1,458,17.2613617,1460.012213,13.52040209,1.251871314,3,2,10,5,0,-0.449951927
1271,151.67198,55.03225243,1,458,51.02149852,4811.650992,11.25011215,0.128563262,7,4,19,5,0,-0.887883093
1321,141.1628183,42.17619956,0,373,57.22686066,2284.161608,41.80418982,0.337929212,2,2,14,11,1,-0.741553461
976,94.29522164,34.96840613,1,265,45.81474256,7531.003763,27.53412962,0.54938462,7,1,3,8,0,-0.279679729
1202,70.49013555,67.85218451,0,382,55.91216409,2579.368906,34.15292694,1.388156933,1,3,5,3,0,2.448186006
901,147.7459641,72.35210788,0,213,20.33228035,7459.231647,83.88524417,1.195808141,0,4,11,10,0,1.855623231
1229,160.7896187,88.38708399,1,333,45.7671691,3613.945988,24.66820866,1.539495352,5,4,0,6,0,2.600773166
1055,97.34410156,40.81006742,0,10,60.93786768,11845.82458,80.22100304,1.507154831,7,3,9,10,0,-0.395238114
661,146.7248906,79.27950766,1,358,41.78004819,538.3350293,70.75455608,1.721047451,8,4,17,2,0,-1.706527765
701,109.2696361,60.52202418,1,203,62.75302354,8920.466231,39.38009726,0.815948236,9,4,0,7,0,2.026175574
1457,156.9810325,89.45528416,1,196,43.35125885,2794.863571,59.19005307,0.755621346,7,0,6,14,1,1.04223863
1495,79.88229123,57.50308975,1,58,33.35596437,115.7706451,49.99920488,1.678929266,1,0,1,1,0,0.017359311
769,183.5322504,56.58668456,0,494,30.806429,13920.2814,21.55557839,0.551442914,0,3,7,14,1,2.561659467
1362,93.11143947,62.00893733,1,256,39.92667501,10777.29183,91.64667896,0.97622751,6,1,0,1,0,3.000372448
1315,105.1678982,77.43838196,1,223,6.962617928,1673.190871,61.26561708,0.469218739,6,4,18,4,0,3.611892266
770,58.71379281,96.82214309,0,369,61.82463677,10658.75065,89.22160412,1.83629741,2,4,5,0,0,-0.273782944
955,66.72683185,16.62070188,1,180,76.83397948,9825.192591,84.14438606,0.874825725,5,1,10,14,1,2.933155439
961,127.3792854,14.80911422,1,418,35.14330303,7626.371324,17.17983328,0.503725107,6,4,18,0,0,1.756008314
1226,90.13890151,94.37953037,1,362,8.912816572,6766.203765,28.65435994,1.414825442,8,1,9,13,1,0.334637006
751,175.3220339,57.6888063,1,35,88.87592578,14204.40923,23.07350029,0.564824889,0,3,15,10,0,2.936191473
1201,52.2040083,65.34127131,0,359,27.41435171,3997.853516,84.77015795,1.892656846,2,3,15,2,0,-0.015991126
795,106.8641073,53.41812414,0,103,15.76279534,6433.129907,87.62019638,0.798472328,4,1,9,5,0,0.357982227
1224,100.601832,18.42917073,1,161,36.42896318,5332.935065,57.51743588,1.362817353,2,1,17,9,0,2.53340778
1219,52.89914464,79.12804406,0,200,67.77734845,12362.09636,19.37602653,0.755965369,7,2,17,11,1,0.395899166
1248,68.65525985,77.25021806,0,160,29.98291074,14671.79837,22.20549567,1.633766608,9,0,2,5,0,1.850800834
837,112.0464012,38.05329893,0,183,53.84977233,13611.52901,83.21939312,1.804153208,5,0,11,7,0,0.581002794
1378,123.9296877,37.56153207,0,353,40.32259953,12783.49249,93.62711229,1.597044883,1,4,9,6,0,1.542029182
552,110.6434621,85.40572428,1,136,15.00993934,15789.96013,27.95281166,1.712148136,0,4,15,0,0,1.65474324
1291,129.6406518,16.5121532,0,430,33.07439606,11184.59835,11.00238188,0.293573573,9,1,8,0,0,-0.039233379
1421,139.2697512,89.29946335,1,398,66.61399299,12041.75528,39.78576146,1.855722886,4,1,17,3,0,1.619794593
716,51.48857317,33.09955209,1,226,57.02033127,15726.56038,12.74494507,1.286171385,8,0,12,0,0,0.592626394
1263,119.6142739,63.3686273,0,392,15.18116229,211.1534878,84.51774245,1.751513311,9,4,13,0,0,-0.006092591
687,194.5248861,94.23947611,1,243,18.88240483,10181.36919,54.23610315,1.400429852,8,0,18,14,1,-0.219012125
879,127.854842,71.03102514,0,106,59.46233554,11849.64736,67.76747009,0.48351057,0,3,13,9,0,-0.193250501
992,151.6313401,47.29868312,1,71,74.14031022,14693.45015,47.03363885,1.258154693,2,0,1,0,0,0.518215805
540,96.77957869,72.0580788,1,77,34.70533216,14153.12444,41.09567923,0.272797855,5,0,10,10,0,2.198004619
656,166.0987067,40.95816727,0,54,55.60141391,13487.17483,29.99803718,1.421873757,4,1,7,2,0,-0.532926643
514,165.9382223,34.95325747,1,277,19.50470504,15138.08122,79.34792923,0.877102168,3,4,2,12,1,1.523746872
1312,128.1944071,99.70149501,0,111,31.46698864,8644.329088,72.5992826,0.388293029,1,3,14,9,0,1.945440358
564,196.4020735,77.57112081,1,224,6.722967482,210.0295198,42.4656086,1.96053665,3,0,12,1,0,2.840170359
1356,68.83253221,68.02479796,1,75,70.30345556,275.7649393,38.90045209,1.812060406,4,0,7,10,0,0.664251573
1338,52.54214973,41.97606789,0,14,39.08583468,8759.760984,10.11185908,1.797733055,1,1,12,9,0,1.674802092
1020,165.5237318,14.42447462,0,459,74.37067376,7020.828598,15.7196917,1.598758582,9,2,15,7,0,-0.17939042
843,171.0733306,12.79511884,0,258,65.21170466,7274.796349,66.09299724,1.414764138,0,4,0,6,0,-0.377318824
628,68.03108437,59.87631299,1,482,75.44326259,6466.435322,56.31465792,1.344651013,6,4,1,9,0,1.986392857
1147,89.83742494,78.58294489,0,189,29.28098691,14691.84036,49.1322884,0.301578292,6,4,12,12,1,4.408937642
971,52.6328545,58.36412714,0,364,20.73424209,5810.808584,84.47520167,1.811075847,7,0,13,7,0,2.426951841
562,93.99629162,85.67065647,0,239,87.61198303,13714.00837,55.3508384,1.774143953,9,0,1,3,0,-0.2162237
638,165.9712811,13.00838798,0,401,65.9728619,14455.55022,44.60442233,1.52091999,5,0,15,13,1,-0.082793936
998,127.6940792,43.00768688,1,334,75.89359277,8042.078143,24.51307128,1.861898422,0,2,13,8,0,2.392863207
1092,102.214339,31.33633521,1,473,6.116336765,7206.314794,83.86192074,1.150858558,7,0,6,4,0,2.550670514
891,105.7608942,50.25456713,1,304,35.12923773,12200.22761,61.86234251,0.950520436,1,4,13,6,0,1.618280321
1174,50.20304386,16.51387539,1,91,68.1394187,11356.74697,18.32139693,1.939100064,2,4,17,3,0,1.252417197
918,94.97007913,95.87184774,1,392,11.6285408,5323.708354,68.40085582,0.981849257,7,1,16,0,0,2.298352287
788,146.9688112,30.0929861,1,184,53.22389401,1730.515202,48.25636709,1.318516438,3,2,4,10,0,0.110599013
878,196.1291666,93.00769979,0,17,41.47118523,4311.153163,83.02476012,0.808818079,4,3,10,11,1,3.031622565
1272,177.059124,48.33038395,1,453,6.497403107,2183.353242,92.70231373,1.309019829,8,0,17,7,0,2.088202569
989,53.5392447,98.69717199,0,12,25.05792406,4786.243185,64.04192319,1.468188092,6,3,15,8,0,0.456842871
730,184.7840907,59.86525451,0,166,29.20731907,4262.962893,75.84515374,1.286845498,9,0,9,12,1,1.487338283
540,167.479762,93.77495778,0,146,14.50809544,10239.61164,15.09317628,1.077669588,6,2,5,8,0,6.523796179
527,167.0564185,10.48140898,0,282,58.68063733,15276.48685,60.42299095,0.670210515,0,2,13,9,0,1.210148378
634,118.6993639,77.34149256,1,479,25.60381948,11003.32534,77.98059805,1.323306785,0,4,1,13,1,2.430711806
700,109.7007939,91.27455878,1,37,28.59765747,14833.72559,54.70859345,1.826014901,7,2,8,7,0,2.823648976
1339,95.43735932,22.57485103,1,70,81.35028085,12567.70291,63.41950806,0.113133923,9,3,12,0,0,1.924865149
1279,59.85422884,18.65132666,0,169,44.70546288,11673.25419,90.9053367,0.354465152,0,3,19,2,0,1.093599992
1429,84.23530452,48.21153465,1,335,38.33089249,6683.584849,27.82896148,0.327569001,9,2,11,4,0,0.641682122
532,86.99054525,94.03110155,1,170,66.52903826,5264.232596,18.84218568,1.854090075,1,3,1,6,0,1.433335738
547,122.6115605,58.81479042,1,497,82.31717274,13555.81022,72.15792518,1.359220609,3,0,2,11,1,1.487504479
1002,162.116661,57.47108173,1,253,7.12808858,14495.7524,84.0564015,1.908397402,8,1,12,7,0,3.501599363
906,121.0714743,22.70135065,1,346,43.10030196,7284.931649,86.54411697,1.207345219,6,4,0,0,0,3.970428506
1073,58.67666742,10.071056,1,499,56.91641527,244.1032612,67.74800474,0.977292505,6,1,19,4,0,4.277938461
1227,193.6684701,82.91260817,0,460,32.07786334,12701.24384,84.98920764,1.605451532,9,3,3,2,0,1.229220369
1304,191.4086479,17.88171067,0,297,70.65465638,4632.594564,73.05977852,0.405790308,6,4,17,6,0,3.218762095
598,167.7784315,67.04648369,1,431,87.57555097,257.2170538,17.86392243,0.824542421,4,1,12,5,0,2.138229767
1183,198.6991852,92.31548091,0,142,85.19132613,12899.31809,78.58391571,0.985921057,0,1,5,11,1,0.226875201
1371,131.6723499,28.77867218,0,385,27.60851585,8326.885602,26.14237206,0.66707095,4,3,5,14,1,-0.33765502
1225,194.4152525,69.87455526,1,273,24.23875367,10994.85087,31.29484083,0.805442664,7,4,14,0,0,1.313601164
1486,61.34075609,17.0828719,0,225,86.38669514,14643.56816,45.51855643,0.248399855,6,4,17,10,0,1.577920015
1046,104.8521122,64.33796295,1,183,43.98342143,8704.663899,38.31103597,0.47616882,6,1,16,1,0,0.523026189
1460,83.8071902,24.75385489,0,221,22.70530646,8100.785754,38.94865645,0.737443769,1,4,13,4,0,3.545040928
1238,79.37496262,76.23582045,1,53,65.09474191,4721.527729,25.23335718,1.612191823,0,4,3,4,0,3.909086534
1112,71.12044233,37.11081653,0,118,29.17572753,4952.581968,36.44839424,0.446744974,3,0,0,0,0,1.549474174
1442,143.3620462,51.70519079,0,365,27.71599288,12765.01885,11.7696331,0.758616711,7,3,7,10,0,3.986934061
961,167.1982784,63.94874878,0,159,79.73616866,7239.565005,52.5619852,0.223348548,0,3,10,11,1,2.433151999
1142,136.7447599,25.41460696,0,446,18.81072804,2700.066717,79.17318629,1.158498255,1,0,12,11,1,-0.935191621
1268,72.04440644,76.74740368,1,136,10.47340045,1603.007348,87.60226323,1.261376687,6,1,16,3,0,-1.024395584
504,171.6685655,37.23763066,0,414,27.88084741,7619.429858,83.83857031,1.744481281,4,2,13,11,1,2.339113062
717,145.3932061,69.61346739,1,77,56.59036009,7492.784876,47.48119471,1.656320397,5,1,16,8,0,1.647148174
1002,108.2248559,24.24547456,1,336,15.46246754,10489.98662,75.7383833,0.642218114,7,0,19,8,0,0.555814237
1266,151.1195443,71.93058933,0,450,45.08554714,7589.972896,35.91016967,0.360212009,8,4,0,14,1,2.499835812
897,88.98574689,21.53692655,0,45,58.32365439,2381.263696,15.00062254,0.396558046,7,0,7,4,0,4.985861789
1370,101.7788313,48.28208466,1,18,77.14264437,8174.065868,70.83743729,1.941031492,0,3,18,6,0,1.999861825
1294,187.6228765,32.24854664,0,355,24.53891525,14517.95152,68.39165483,1.379129047,3,4,10,10,0,1.307931583
892,93.57567585,77.35377245,1,429,74.47443749,2635.118445,82.14664559,0.180884497,4,1,9,1,0,0.924820663
706,120.4982402,33.58315041,0,403,24.9670322,11067.09879,65.4495586,0.359880585,8,4,0,0,0,0.248758041
514,183.5211706,89.35455758,1,205,62.52515601,9542.362313,24.12024625,1.023020124,5,3,4,14,1,3.084427497
1357,156.1582025,90.26381903,0,499,41.60725358,12002.51305,86.78461528,0.494874728,5,0,15,11,1,1.337213922
1053,59.33048392,27.67971837,0,324,14.7479056,2494.544347,66.45275092,1.626952072,2,1,19,1,0,1.754615031
1391,72.09545664,65.24613505,1,83,65.71239434,15071.52486,82.68487291,1.189112523,1,2,19,14,1,1.378857766
960,51.17623862,17.89458775,1,50,23.50982258,9973.366201,79.66964083,1.264001195,1,2,4,12,1,4.234086463
1190,144.6382685,45.23833896,1,281,20.01299121,13568.43109,36.80780385,0.979368541,6,0,15,3,0,-0.034905966
1074,117.1510138,74.19895566,0,166,35.45744893,4021.047543,16.70976774,0.586519273,4,1,2,5,0,2.951077853
1363,70.14122764,69.34809222,0,243,60.5296708,11856.66494,25.88539682,1.219866865,9,1,1,2,0,3.220218868
1242,193.6901182,66.22306025,0,377,24.8897007,12518.3882,18.35761009,1.462243088,0,4,16,1,0,0.953735654
740,129.4489586,35.42867773,0,479,20.6112308,6419.220831,31.90711889,0.804801347,4,0,0,12,1,2.862698588
1063,86.28399412,44.02224545,1,164,5.846058186,6204.859901,51.35790457,1.059392898,0,4,15,6,0,1.773379867
595,125.0905357,19.26515302,1,324,45.08966325,10558.96061,91.61295445,1.695399544,8,0,1,7,0,3.172885069
1399,151.9430499,74.71205384,0,56,41.43487339,1585.18214,88.48168803,0.382495347,7,3,19,8,0,0.658618029
1233,61.4358827,55.34999171,0,39,24.87875821,11796.42399,74.67398336,1.135926397,3,0,6,10,0,2.418291724
984,91.20557226,73.78890691,0,319,9.560433941,781.8994814,12.17011236,0.761984057,0,4,10,11,1,2.147640851
906,171.0448236,32.40491723,1,128,41.48674934,3130.385788,40.72502812,1.435310041,7,1,5,9,0,2.819465603
730,118.9497306,39.19944058,1,391,71.99743444,10659.88574,71.41135838,0.135739462,4,0,1,12,1,-1.307741869
1248,131.9865713,40.07938035,0,122,65.79898116,1663.346307,21.61260072,1.37389927,0,1,13,7,0,1.052105211
1154,114.9224003,12.31681688,1,247,78.16756564,15552.28925,82.0979065,0.295505695,1,3,3,1,0,2.904267558
670,56.5849914,40.69430855,0,186,5.814528456,13907.49973,92.3116312,0.223058731,4,2,18,2,0,4.560453491
1040,74.86246697,82.29741162,0,208,87.14564193,10058.20709,41.8694002,1.476784272,8,2,1,14,1,3.572989968
535,116.8312458,90.75686462,1,315,34.02004147,13123.01355,73.52587557,1.316650091,9,4,1,0,0,2.669964282
1024,81.37781981,56.63964841,1,304,89.18381267,14212.52277,23.33837194,1.800378269,7,0,12,0,0,0.90787701
659,57.4968543,50.99515257,1,389,26.47265415,4225.662828,72.17348042,1.087344416,9,3,12,14,1,2.536105888
1338,176.5474496,12.77421568,1,239,45.08059294,13605.64425,11.93098711,1.107046409,7,3,2,5,0,2.949594892
1198,197.1788794,89.12839038,0,215,35.08385251,3197.22116,23.56943561,1.443333888,8,1,5,2,0,4.647509086
742,168.9714311,11.17091921,1,292,35.23966077,6672.142,73.88933019,0.714455395,1,4,16,3,0,0.884576543
585,178.0677383,95.02750722,1,224,76.59397839,8976.328137,74.06652006,0.170133665,6,3,0,9,0,1.608211075
1295,86.29656955,54.02946238,1,88,68.44560988,11450.86631,67.70464353,0.537087069,9,0,6,11,1,4.994457129
1077,194.0940463,40.77410442,1,25,89.33287199,579.2469518,52.96276219,0.552225483,4,3,6,7,0,1.877611332
1181,79.53885567,93.17965914,0,429,57.14874803,4719.099663,70.74172821,0.737751816,2,2,12,4,0,2.859510155
1056,192.7144716,12.19518938,0,220,44.37681137,9775.453662,79.64207185,1.892579193,9,4,8,11,1,0.675025318
1073,199.2228941,62.32824054,1,275,12.65627835,5782.161998,96.98334931,1.629201317,7,1,17,13,1,1.696126802
1452,156.7584209,59.4039272,1,135,89.70772066,12422.89838,89.97769284,1.878316866,1,0,0,10,1,2.647178588
1145,197.1715598,29.73883611,0,492,51.8801055,10461.26936,81.50807823,1.997358221,3,2,10,5,0,1.656539292
1295,135.4309669,48.59986882,0,442,64.54058492,3826.983114,72.5281765,0.924180108,4,3,10,8,0,2.458245475
527,88.93126748,68.70376053,1,233,39.57310291,2420.270776,61.67399909,0.531439302,4,4,9,13,1,2.570134731
1119,115.5493828,75.44180772,0,465,51.5558352,10101.8472,20.8547941,1.164007906,3,4,16,10,0,2.316268171
1055,139.0341403,10.06451728,0,66,85.11910721,7262.430511,24.90011579,1.774155387,2,0,16,10,0,1.16285932
839,60.9622343,94.31680871,0,80,19.14565222,2786.416954,83.82516046,0.984890536,2,1,11,1,0,3.401230542
1297,143.3514897,24.80728352,0,423,29.85166967,5289.349865,82.2981621,1.060258675,4,2,9,2,0,2.493216499
1457,197.1766755,31.02223908,1,255,17.92507686,4918.443298,65.30130334,0.355434301,9,1,11,4,0,1.302413089
830,78.51614747,33.71261011,0,125,72.33835182,1819.29836,49.49561194,0.898865436,5,0,5,1,0,1.111628584
1139,168.8892674,13.40381229,0,146,10.27384714,8795.853406,12.34293848,0.835290139,0,0,5,7,0,0.800243585
1005,186.1848191,21.07469112,1,103,11.93869024,12242.01328,39.44592483,0.768208155,3,2,5,1,0,3.968223691
847,191.5552389,98.77149306,1,385,30.37199959,9249.923533,47.85756918,1.785867473,9,4,19,3,0,1.262279026
